Clause,Clause Type,Risk Score
"failure exercise right agreement shall construe waiver right","Breach and Remedies Clause","Medium"
"agreement shall inure benefit party hereto respective affiliate define successor assign legal representative","Successors and Assigns Clause","Low"
"party agree party affiliate receive confidential information andor disclose confidential information party partys affiliate confidential information shall govern agreement","Disclosure to Representatives Clause","Medium"
"recipient shall fully responsible disclosing party breach agreement recipient affiliate","Disclosure to Representatives Clause","Medium"
"affiliate mean entity directly indirectly control control common control party agreement section control control control mean fiftyone percent ownership beneficial interest income capital entity ii ownership fiftyone percent voting power voting equity iii ability direct share management policy entity","Definition Clause","Low"
"party agree use confidential information violation agreement cause party irreparable harm leave adequate remedy law shall entitle seek injunctive relief court competent jurisdiction party partys affiliate violation","Breach and Remedies Clause","High"
"agreement govern construe accordance law state michigan regard principle conflict choice law","Governing Law and Jurisdiction Clause","Low"
"party unconditionally irrevocably agree submit exclusive jurisdiction state federal court state michigan","Governing Law and Jurisdiction Clause","Low"
"section section part thereof nature intend survive termination shall survive termination agreement","Term and Termination Clause","Low"
"court find provision agreement right obligation invalid unenforceable agreement shall immediately deem amend include provision reflect intent party possible ii exclude provision party shall negotiate good faith substitute provision reflect party intent time enter agreement","Integration or Entire Agreement Clause","Low"
"bosch north america mutual nda rev page","Definition Clause","Low"
"agreement contain entire understanding party confidential information supersede communication report understanding party respect thereto","Integration or Entire Agreement Clause","Low"
"change addition provision shall binding writing sign authorized representative party","Integration or Entire Agreement Clause","Low"
"notice shall writing deliver electronic mail register certify mail return receipt request appropriate address set forth signature block heading","Communication/Notice Clause","Low"
"heading agreement reference shall affect meaning provision","Integration or Entire Agreement Clause","Low"
"agreement sign counterpart include sign facsimile copy","Counterparts Clause","Low"
"counterpart deem original counterpart shall constitute instrument","Counterparts Clause","Low"
"witness whereof party hereto cause authorized representative execute agreement date write","Counterparts Clause","Low"

"signature print print","Counterparts Clause","Low"
"title date insert conterparty bosch automotive service solution","Counterparts Clause","Low"
"agreement nondisclosure confidential information twoway","Non-Disclosure Clause","High"
"agreement effective date day university bristol register address senate house tyndall ave bristol register address","Definition Clause","Low"
"party purpose agreement regulate exchange subsequent treatment confidential information receive disclose signatory agreement field protect proper interest disclosing party whilst confidential information possession control receive party","Purpose Clause","Medium"
"purpose agreement term confidential information include proprietary material information relate thereto include limitation specification drawing design computer software knowhow","Definition Clause","Low"
"general receive party afford disclose confidential information degree protection afford","Confidentiality Clause","Medium"
"disclosure confidential information specific purpose evaluate technology field describe instance normally university bristol","Confidentiality Clause","Medium"
"specific document material necessarily provide loan purpose specify schedule agreement receive party return document material subsequently provide disclosing party request","Return or Destruction of Information Clause","Medium"
"party mark designate confidential information expressly necessary implication impart confidence","Confidentiality Clause","Medium"
"receive party receive confidential information record writing mean give orally record disclose connection agreement subject follow condition proper reasonable measure ensure confidentiality information maintain b use information commercial purpose manufacture obtain write licence agreement disclosing party c disclose information party write permission d disclose information employee extent necessary fulfil purpose set employee disclose aware confidential nature information condition disclosure e copy abstract information specific write permission disclosing party f acknowledge source ie organisation signatory agreement mark confidential drawing document software incorporate information","Confidentiality Clause","High"
"term agreement explicit imply transfer ownership receive party drawing document software copyright subsist","No License/No Implied Rights Clause","Medium"
"provide obligation undertaken apply information time disclosure public domain disclosure public domain fault recipient b information recipient party possession time disclosure independently develop recipient acquire directly indirectly disclosing party c information public time disclosing party permission disclosing party d information receive receive party party similar restriction breach agreement","Exclusion Clause","Medium"
"e information require disclose legal process law regulatory authority","Disclosure to Representatives Clause","High"
"party agree time current discussion period year start effective date agreement communicate divulge party confidential information receive party","Communication/Notice Clause","Medium"
"agreement construe enforce accordance english law subject exclusive jurisdiction english court party hereto submit","Governing Law and Jurisdiction Clause","Low"
"clause shall prevent party seek interim relief court competent jurisdiction","Governing Law and Jurisdiction Clause","Low"
"sign behalf university bristol date block letter","Counterparts Clause","Low"
"sign behalf date block letter","Counterparts Clause","Low"
"sid mutual nondisclosure agreement mutual nondisclosure agreement agreement enter business namename org address","Non-Disclosure Clause","High"
"business namename org address individually refer party jointly party","Definition Clause","Low"
"introduction party wish explore possible cooperation brief description","Definition Clause","Low"
"party evaluation discussion negotiation disclose essential information operation consider confidential","Confidentiality Clause","Medium"
"party acknowledge confidential information essential disclosing party operation result unauthorised disclosure thereof damage competitive situation disclosing party commercially andor academically","Confidentiality Clause","High"
"party agree disclosure use confidential information shall term condition agreement","Non-Disclosure Clause","High"

"confidentiality nonuse","Confidentiality Clause","Medium"
"purpose agreement confidential information mean information receive party receive party party disclosing party business research product andor service information technology include limitation research invention manufacture method datum design plan drawing knowhow system software process schematic blueprint record report model prototype description relate thereto customer partner term condition agreement information furnish discussion oral presentation designate confidential time disclosure","Definition Clause","Low"
"confidential information shall include information public domain fault breach receive party ii previously know receive party free obligation confidential evidence business record iii lawfully obtain receive party party iv independently develop receive party use confidential information evidence record","Exclusion Clause","Medium"
"agreement deem restrict party comply lawfully issue governmental order order court competent jurisdiction legal requirement produce disclose confidential information provide receive party promptly notify disclosing party learn order requirement","Disclosure to Representatives Clause","High"
"sid party shall use confidential information purpose negotiation andor evaluation cooperation party","Obligations Clause","Medium"
"party shall disclose confidential information party officer employee consultant engage matter agreement need know basis prior write approval party","Disclosure to Representatives Clause","High"
"party shall ensure officer employee consultant receive confidential information bind confidentiality undertaking provide level protection provide agreement","Obligations Clause","Medium"
"return confidential information confidential information disclose disclosing party receive party shall remain property disclosing party","Return or Destruction of Information Clause","Medium"
"receive party shall entitle copy confidential information furnish disclosing party hereunder extent necessary purpose agreement","Return or Destruction of Information Clause","Medium"
"request disclosing party termination agreement receive party shall return delete destroy instruct write disclosing party confidential information copy thereof","Return or Destruction of Information Clause","Medium"
"receive party shall certify write information return delete destroy applicable copy retain confidential information partly wholly","Return or Destruction of Information Clause","Medium"
"intellectual property right confidential information include limit intellectual property right emanating relate confidential information remain exclusive property disclosing party agreement grant right license confidential information receive party","No License/No Implied Rights Clause","Medium"
"applicable agreement commercial partner case breach material obligation agreement receive party permit party receive confidential information accord agreement receive party shall liable pay liquidate damage disclosing party amounting sek breach obligation","Breach and Remedies Clause","High"
"notwithstanding right receive liquidate damage disclosing party right legal measure available claim receive compensation damage exceed liquidate damage include limit loss profit","Breach and Remedies Clause","High"
"agreement shall remain force effect year duly sign party provide confidentiality obligation impose receive sid party agreement shall continue period year termination agreement extent agreement supersede stipulation contemplated agreement","Term and Termination Clause","Medium"
"provision agreement shall apply retroactively confidential information disclose accordance agreement connection discussion negotiation possible cooperation describe agreement prior effective date agreement","Integration or Entire Agreement Clause","Low"
"assignment party shall right assign agreement prior write consent party","Successors and Assigns Clause","Low"
"govern law dispute resolution agreement shall construe accordance govern substantive law sweden","Governing Law and Jurisdiction Clause","Low"
"dispute controversy claim arise connection agreement shall exclusively settle district court city instance","Governing Law and Jurisdiction Clause","Low"
"dispute controversy claim arise connection agreement shall finally settle arbitration accordance rule expedite arbitration arbitration institute stockholm chamber commerce","Governing Law and Jurisdiction Clause","Low"
"seat arbitration shall city","Governing Law and Jurisdiction Clause","Low"

"language arbitral proceeding shall english","Governing Law and Jurisdiction Clause","Low"
"agreement execute copy party take","Counterparts Clause","Low"
"place place date date","Counterparts Clause","Low"
"organisation namename","Definition Clause","Low"
"page nondisclosure agreement agreement effective day effective date nsk europe limit register number registered office belmont place belmont road","Definition Clause","Low"
"maidenhead berkshire tb uk nsk supplier register number","Definition Clause","Low"
"registered office insert address insert party refer party party jointly refer party","Definition Clause","Low"
"party intend enter discussion relate purpose involve exchange confidential information","Purpose Clause","Medium"
"b party agree comply agreement connection disclosure use confidential information","Non-Disclosure Clause","Medium"
"party agree follow definition affiliate shall mean corporation form business entity directly indirectly control control common control party time term agreement","Definition Clause","Low"
"purpose definition term control mean direct indirect beneficial ownership voting share interest entity confidential information meaning give clause agreement disclose party party agreement disclose confidential information party","Definition Clause","Low"
"purpose insert detail eg establish business relationship respect supply name service provision good x etc receive party party agreement receive confidential information party representative employee officer director professional advisor consultant relation party affiliate actively directly engage purpose term meaning give clause agreement","Definition Clause","Low"
"confidential information","Definition Clause","Low"
"confidential information mean confidential information relate purpose disclosing party affiliate disclose make available receive party affiliate effective date","Definition Clause","Low"
"include fact discussion negotiation take place concern purpose status discussion negotiation","Definition Clause","Low"
"page b term agreement c confidential proprietary information relate business affair customer client supplier plan business opportunity finances pricing operation process product information technique knowhow technical information design trade secret finding analysis derive confidential information tangible intangible form","Definition Clause","Low"
"confidential information include information subsequently public knowledge publicly available fault receive party b know receive party prior time receipt evidence write record c lawfully obtain receive party party subject similar restriction disclosure d independently develop receive party e party agree writing confidential","Exclusion Clause","Medium"
"confidentiality obligation","Confidentiality Clause","Medium"
"consideration disclosing party disclose confidential information receive party receive party undertake shall confidential information secret confidential degree care use protect confidential information reasonable degree care b use exploit confidential information way purpose c disclose available confidential information person expressly permit accordance agreement d establish maintain adequate security measure safeguard confidential information unauthorized access use","Confidentiality Clause","Medium"
"notwithstanding clause agreement receive party disclose confidential information affiliate representative provide receive party procure representative shall comply confidentiality obligation set clause agreement receive party agree liable action omission representative relation confidential information action omission receive party b require order court competent jurisdiction governmental body case receive party shall extent permit law use reasonable endeavour provide disclosing party prompt write notice requirement prior disclosure disclosing party seek protection order appropriate remedy","Confidentiality Clause","High"
"protective order remedy obtain disclosing party receive party shall disclose portion confidential information legally require disclose","Disclosure to Representatives Clause","High"
"page return destruction confidential information","Return or Destruction of Information Clause","Medium"
"disclosing party write request receive party shall request disclosing party return disclosing party destroy provide destruction shall confirm writing receive party confidential information disclosing party include copy reproduction note extract summary include reflect incorporate contain disclosing party confidential information tangible form electronic mail computer file","Return or Destruction of Information Clause","Medium"
"clause agreement shall apply","Integration or Entire Agreement Clause","Low"
"confidential information hold electronically archive backup system reasonably retrievable representative receive party affiliate b copy confidential information retain receive party pursuant applicable law","Return or Destruction of Information Clause","Medium"
"provision agreement shall continue apply document material retain receive party pursuant clause agreement","Integration or Entire Agreement Clause","Low"
"party reserve right confidential information","Non-Disclosure Clause","Medium"
"agreement shall interpret grant disclosing party license title interest proprietary right receive party disclosing party confidential information product embody","No License/No Implied Rights Clause","Medium"
"confidential information disclose disclosing party receive party pursuant agreement shall remain disclosing party property","No License/No Implied Rights Clause","Medium"
"party express imply representation warranty accuracy reliability completeness confidential information expressly disclaim liability base confidential information include error omission","Exclusion Clause","High"
"party agree entitle rely accuracy completeness confidential information","Definition Clause","Low"
"inadequacy damage","Breach and Remedies Clause","High"
"prejudice right remedy party party acknowledge agree damage adequate remedy breach term agreement party","Breach and Remedies Clause","High"
"accordingly party shall entitle remedy injunction specific performance equitable relief threatened actual breach agreement","Breach and Remedies Clause","High"
"obligation disclose continue discussion","Obligations Clause","Medium"
"agreement shall impose obligation party disclose information confidential information party","Obligations Clause","Medium"
"agreement shall impose obligation party continue discussion negotiation connection purpose enter contract business relationship","Obligations Clause","Medium"
"term survival confidentiality obligation","Term and Termination Clause","Medium"
"term agreement shall period year effective date term terminate extend party write agreement","Term and Termination Clause","Medium"
"right obligation contain agreement shall continue force effect year expiration term termination agreement","Term and Termination Clause","Medium"
"partnership agency","Definition Clause","Low"
"agreement intend shall deem establish partnership joint venture party create commercial agency relationship party authorise party enter commitment behalf party","Definition Clause","Low"
"party shall assign transfer subcontract deal manner right obligation agreement prior write agreement party","Successors and Assigns Clause","Low"
"agreement constitute entire agreement party supersede extinguishe previous agreement promise assurance warranty representation understanding write oral relate subject matter","Integration or Entire Agreement Clause","Low"
"variation agreement shall effective writing sign party","Integration or Entire Agreement Clause","Low"
"failure delay party exercise right remedy provide agreement law shall constitute waiver right remedy shall prevent restrict exercise right remedy","Breach and Remedies Clause","High"
"single partial exercise right remedy shall prevent restrict exercise right remedy","Breach and Remedies Clause","High"
"provision agreement invalid unenforceable shall deem modify minimum extent necessary valid enforceable","Integration or Entire Agreement Clause","Low"
"modification provision clause shall affect validity enforceability rest agreement","Integration or Entire Agreement Clause","Low"
"notice give party connection agreement shall writing shall deliver hand prepay class post reputable nextday courier service register office principal place business send email address specify party write","Communication/Notice Clause","Medium"
"notice shall deem receive deliver hand time notice deliver proper address send prepay class post second business day post nextday courier service time record courier email time transmission","Communication/Notice Clause","Medium"
"clause apply service proceeding document legal action applicable arbitration method dispute resolution","Governing Law and Jurisdiction Clause","Low"
"agreement rise right contract right party act enforce term agreement","Integration or Entire Agreement Clause","Low"
"agreement dispute claim include noncontractual dispute claim arise connection subject matter formation shall govern construe accordance law england wale","Governing Law and Jurisdiction Clause","Low"
"party irrevocable agree court england wale shall exclusive jurisdiction settle dispute claim include noncontractual dispute claim arise connection agreement subject matter formation","Governing Law and Jurisdiction Clause","Low"
"undersigned duly authorise execute agreement behalf party","Counterparts Clause","Low"
"behalf nsk europe limit behalf company signature","Counterparts Clause","Low"
"signature","Counterparts Clause","Low"
"date date","Counterparts Clause","Low"
"mutual nondisclosure conﬁdentiality agreement mutual nondisclosure conﬁdentiality agreement agreement ltd client name signature column","Non-Disclosure Clause","Medium"
"client collectively refer party individually party","Definition Clause","Low"
"party include entity name successor assign present future corporate parent subsidiary organization control control common control party","Definition Clause","Low"
"party disclosing party party deem receive party","Definition Clause","Low"
"party intend enter discussion potential future business relationship b","Purpose Clause","Medium"


"order facilitate discussion party wish disclose certain confidential information define agree follow definition interpretation agreement confidential information mean information relate disclosing party business partner customer financial affair include detail relate software copyright respect vest disclosing party obtain receive party undertaking enter writing orally pursuant discussion personnel disclosing party b portion analysis compilation study report document prepare disclosing party contain reflect generate information specified paragraph c information commercially sensitive nature relate disclosing party obtain observation visit disclosing partys premise subject proviso set clause","Purpose and Scope Clause","Medium"
"disclose party mean party confidential information disclose receive party personnel mean staff employee director officer professional advisor party purpose mean discussion negotiation relate potential agreement party hereto particularly set recital","Definitions Clause","Low"
"receive party mean party receipt confidential information commitment","Definitions Clause","Low"
"consideration party agree supply party confidential information purpose consideration mutual undertaking set party separately agree irrevocably undertake use confidential information purpose act accordance term condition hereinafter contain","Consideration Clause","Medium"
"disclosure confidential information disclosing party receive party shall way construe imply transfer right connect confidential information include limitation trade mark business secret","No Transfer of Rights Clause","Low"
"receive partys obligation respect confidential information available disclosing party pursuant agreement shall continue notwithstanding termination purpose","Survival Clause","Medium"
"safekeepe receive party shall treat safeguard private confidential confidential information reasonable precaution deal confidential information prevent party have access confidential information","Confidentiality Obligation Clause","Medium"
"limited internal dissemination receive party shall disclose reveal confidential information disclose personnel require course duty receive consider far necessary fulfil purpose","Permitted Disclosure Clause","Medium"
"prior disclosure confidential information personnel receive party shall inform confidential nature material provision confidentiality undertaking obtain write confirmation acceptance term","Prior Disclosure Clause","Medium"
"nondisclosure party save permit receive party shall shall procure personnel time disclosing party prior write consent disclose confidential information party directly indirectly b disclose person fact discussion negotiation take place party ii content discussion negotiation iii term condition fact respect purpose iv confidential information request receive require law order ruling court tribunal regulatory body recognise stock exchange competent jurisdiction case receive party require disclose confidential information shall prohibit notify disclosing party promptly writing fact event prior make disclosure","Non-Disclosure and Permitted Disclosure Clause","High"
"discussion authorise representative understand communication party discussion request additional information meeting question submit direct authorise representative party exclusion confidential information term condition apply confidential information public domain public knowledge mean breach receive party personnel obligation contain b previously time disclose receive party party have right disclose provide source know receive party bind confidentiality agreement obligation secrecy disclosing party c release provision undertaking prior write consent give director authorise representative disclosing party d independently acquire develop receive party violate obligation hereunder","Exclusions from Confidentiality Clause","Medium"
"return confidential information receive party shall immediately receipt notice effect return disclosing party confidential information include copy hold b destroy portion copy analysis compilation study report document prepare use contain reflect generate confidential information c expunge destroy confidential information computer word processor device possession custody control contain information","Return and Destruction Clause","Medium"
"responsibility information provide receive party understand acknowledge disclosing party personnel make representation warranty express imply accuracy completeness confidential information disclosing party personnel liability receive party person result use confidential information","Disclaimer of Warranties Clause","High"
"breach undertake party acknowledge agree damage adequate remedy breach undertaking disclosing party shall entitle remedy injunction specific performance equitable relief threatened actual breach undertaking","Remedies and Damages Clause","High"
"notice notice communication give agreement shall writing english sign behalf party give representative shall deliver hand address send fax fax number give clause address fax number receive party specify send party business day notice","Notice Clause","Low"
"notice communication give agreement shall absence early receipt deem receive follow deliver hand time date actual delivery b send fax confirm receipt transmission receive machine day transmit provide notice deem receive day business day hour place receipt shall instead deem receive business day commencement normal business hour place receipt","Notice Clause","Low"
"provision clause shall apply relation service document","General Provision Clause","Low"
"counterpart agreement execute number counterpart party separate counterpart original constitute instrument","Counterparts Clause","Low"
"term condition shall govern construe respect accordance law england","Governing Law Clause","Low"
"jurisdiction party irrevocably agree english court shall exclusive jurisdiction settle dispute arise connection agreement","Jurisdiction Clause","Low"
"party agree waive objection english court ground venue ground forum appropriate","Jurisdiction Clause","Low"
"sign party duly authorise representative ltd client suite equity chamber high street north poole address","Execution Clause","Low"
"sign mateusz stanuszek effective date","Execution Clause","Low"
"oisair project twoway confidentiality nondisclosure agreement sign electronically innovair platform","Execution Clause","Low"
"confidentiality nondisclosure agreement hereinafter refer agreement date","Introductory Clause","Low"
"effective date research institution register office locate tax registration represent legal capacity","Introductory Clause","Low"
"hereinafter refer company register office locate","Introductory Clause","Low"
"tax registration represent legal capacity","Introductory Clause","Low"
"hereinafter refer","Introductory Clause","Low"
"party hereinafter collectively refer party individually party","Definitions Clause","Low"
"party willing exchange confidential information form certain scientific technical commercial information include confidential proprietary material relate field receive party use confidential information sole consideration assess enter potential propose business collaboration disclosing party joint development technology permit purpose subject term condition agreement","Purpose Clause","Medium"
"definition interpretation agreement follow term respective meaning confidential information shall mean scientific research technical business information pertain field include limit invention knowhow trade secret technique process design drawing product design formulae analysis business information include limit price list customer list cost analysis report survey market information datum","Definitions Clause","Low"
"respect confidential information disclose documentary form model tangible form shall mark disclosing party confidential designate expressly necessary implication impart confidence","Marking and Identification Clause","Medium"
"confidential information disclose disclosing party representative orally visually shall identify prior disclosure summarize writing provide disclosing party receive party thirty day date initial disclosure","Identification of Confidential Information Clause","Medium"
"case disagreement say summary receive party shall objection write thirty day receipt write summary","Dispute Resolution Clause","Medium"
"disclose party shall mean party disclose confidential information directly indirectly receive party relation agreement","Definitions Clause","Low"
"receive party shall mean party receive confidential information directly indirectly disclosing party","Definitions Clause","Low"
"representative shall mean director employee professional advisor involve party professional business capacity","Definitions Clause","Low"
"exclusion obligation confidentiality set agreement shall apply confidential information know receive party prior disclosure disclosing party evidence documentary physical evidence b public knowledge time disclosure receive party public knowledge disclosure action omission behalf receive party c lawfully disclose available receive party party have obligation disclosing party maintain confidentiality information d independently develop derive receive party aid application use information furnish disclosing party evidence documentary physical evidence e disclose write consent disclosing party f require disclose order governmental agency legislative body court competent jurisdiction","Exclusions from Confidentiality Clause","Medium"
"obligation confidentiality nonuse receive party undertake agree","Confidentiality Obligation Clause","Medium"


"proper reasonable measure ensure secrecy confidential information b disclose allow disclose party prior write consent disclosing party c use confidential information permit purpose","Obligations Clause","Medium"
"d use confidential information commercial use person party prior write consent disclosing party e copy confidential information format prior write authorisation disclosing party f alter modify disassemble reverse engineer decompile confidential information g apply patent trademark include confidential information","Obligations Clause","High"
"disclosure representative party shall use degree care receive party normally exercise protect information like character importance event reasonable care","Disclosure to Representatives Clause","Medium"
"receive party undertake permit access confidential information representative employee require access information solely fulfilment permit purpose furnish needtoknow basis condition person aware term agreement obligation disclosing party right confidential information","Disclosure to Representatives Clause","Medium"
"receive party shall responsible ensure representative comply term agreement","Obligations Clause","Medium"
"return information property receive party acknowledge agree confidential information remain property disclosing party","No License/No Implied Rights Clause","Low"
"receive party end agreement seven day follow write instruction disclosing party return destroy confidential information receiving party possession custody control","Return or Destruction of Information Clause","Medium"
"receive party retain copy confidential information store securely legal representative require regulatory insurance purpose event confidentiality nonuse provision agreement remain place respect retain confidential information","Return or Destruction of Information Clause","Medium"
"return destruction confidential information diminish affect obligation agreement","Return or Destruction of Information Clause","Medium"
"imply right agreement shall grant construe grant right whatsoever scope permit purpose confidential information receive party","No License/No Implied Rights Clause","Low"
"include limit license patent copyright","No License/No Implied Rights Clause","Low"
