Clause,Clause Type
"recipient disclose permit access confidential information contract worker consultant contractor recipient affiliate authorize disclose party writing condition person bind obligation confidentiality inure benefit disclose party affiliate restrictive term condition","Disclosure to Representatives Clause"
"recipient shall disclose party prior write consent reverse engineer disassemble decompile prototype software object embody disclosing party confidential information obtain access disclose partys trade secret extent consent grant recipient shall receive hold confidential information subject term agreement","Non-Disclosure Clause"
"bosch automotive service solutions inc mound road warren michigan insert corporate address counterparty insert field scope technology date date date period confidentiality bosch north america mutual nda rev page term","Definition Clause"
"term agreement shall period exchange set forth","Term and Termination Clause"
"confidentiality obligation shall survive termination agreement period confidentiality set forth confidential information trade secret case confidentiality obligation shall continue long information trade secret","Confidentiality Clause"
"party terminate agreement day prior write notice","Term and Termination Clause"
"notice unauthorized use","Communication/Notice Clause"
"recipient shall provide write notice disclose party undue delay misuse misappropriation confidential information come attention recipient","Communication/Notice Clause"
"recipient shall cooperate aid disclosing party mitigate prevent unauthorized use disclosure furtherance thereof","Breach and Remedies Clause"
"recipient shall obligation confidentiality respect information know possession recipient affiliate time disclosure show recipient andor affiliate file record prior time disclosure result improper act omission recipient affiliate public knowledge wrongful act recipient rightfully acquire obtain obligation confidentiality","No Obligation Clause"
"independently develop employee agent consultant recipient reference confidential information approve release write authorization disclose party","No Obligation Clause"
"recipient notify set forth usc heshe criminal civil liability trade secret law following disclosure trade secret","Governing Law and Jurisdiction Clause"
"disclosure confidence federal state local government official directly indirectly attorney provide disclosure sole purpose report investigate suspect violation law andor disclosure complaint document file lawsuit proceeding filing seal andor","Governing Law and Jurisdiction Clause"
"circumstance recipient file lawsuit retaliation disclosing party report suspect violation law recipient disclose disclosing party trade secret information attorney use trade secret information court proceeding recipient file document contain trade secret seal disclose trade secret pursuant court order","Governing Law and Jurisdiction Clause"
"reproduction return confidential information","Return or Destruction of Information Clause"
"confidential information provide disclosing party shall copy reproduce disclosing party prior write permission copy reasonably require purpose set forth section agreement","Return or Destruction of Information Clause"
"disclose party serve write request recipient return destruction confidential information time month termination expiry agreement recipient shall thirty day request termination return disclosing party designee certify destroy confidential information form include write electronically record information copy thereof copy retain automatic backup archive system provide recipient shall entitle retain copy confidential information legal counsel appropriate corporate representative evidence exchange information hereunder connection legal statutory requirement","Return or Destruction of Information Clause"
"retain copy shall remain subject use disclosure restriction agreement","Return or Destruction of Information Clause"

"disclosure require law","No Obligation Clause"
"recipient request order require regulatory agency government authority court disclose confidential information recipient shall promptly notify disclose party request order requirement disclose party opportunity contest disclosure include seek protective order waive recipient compliance agreement","No Obligation Clause"
"recipient opinion counsel compel disclose confidential information liable contempt penalty subject claim party recipient disclose confidential information liability agreement","No Obligation Clause"
"party shall export directly indirectly confidential information country person entity government time export require export license governmental approval obtain license approval","Obligations Clause"
"recipient shall obtain write consent bosch north america mutual nda rev page disclose party prior submit request authority export confidential information","Obligations Clause"
"purpose agreement export occur confidential information transfer country mean include limit physical shipment ftp file transfer email fax oral transfer remote server access export occur confidential information transfer access person citizen permanent resident country transfer access take place","Definition Clause"
"ownership confidential information","Ownership Clause"
"disclose party licensor case retain right confidential information disclose document prototype software development kit sdks similar tangible property embodying contain reflect shall remain property disclose party","Ownership Clause"
"execution agreement disclosure confidential information construe grant expressly implication estoppel license right confidential information intellectual property right embody","No License/No Implied Rights Clause"
"confidential information provide agreement provide specifically exclude warranty express imply include limitation imply warranty merchantability fitness particular purpose accuracy","Exclusion Clause"
"disclosing party liable agreement damage connection relate arise use confidential information","Exclusion Clause"
"agreement shall construe manner obligation enter substantive contract disclose particular confidential information","No Obligation Clause"
"disclose party understand recipient develop develop information internally receive receive information party similar confidential information","No Obligation Clause"
"accordingly agreement shall construe representation recipient independently develop product compete product system contemplate confidential information provide breach term agreement","No Obligation Clause"
"party hereto shall consider independent contractor responsible expense financial obligation incur performance agreement","Obligations Clause"
"party waive right invention development lawfully possess time sign agreement","No Obligation Clause"
"addition agreement imply waiver right action patent trademark copyright trade secret unfair competition fair trade related law","No License/No Implied Rights Clause"
"failure exercise right agreement shall construe waiver right","Breach and Remedies Clause"
"agreement shall inure benefit party hereto respective affiliate define successor assign legal representative","Successors and Assigns Clause"
"party agree party affiliate receive confidential information andor disclose confidential information party partys affiliate confidential information shall govern agreement","Disclosure to Representatives Clause"
"recipient shall fully responsible disclosing party breach agreement recipient affiliate","Disclosure to Representatives Clause"
"affiliate mean entity directly indirectly control control common control party agreement section control control control mean fiftyone percent ownership beneficial interest income capital entity ii ownership fiftyone percent voting power voting equity iii ability direct share management policy entity","Definition Clause"
"party agree use confidential information violation agreement cause party irreparable harm leave adequate remedy law shall entitle seek injunctive relief court competent jurisdiction party partys affiliate violation","Breach and Remedies Clause"
"agreement govern construe accordance law state michigan regard principle conflict choice law","Governing Law and Jurisdiction Clause"
"party unconditionally irrevocably agree submit exclusive jurisdiction state federal court state michigan","Governing Law and Jurisdiction Clause"
"section section part thereof nature intend survive termination shall survive termination agreement","Term and Termination Clause"
"court find provision agreement right obligation invalid unenforceable agreement shall immediately deem amend include provision reflect intent party possible ii exclude provision party shall negotiate good faith substitute provision reflect party intent time enter agreement","Integration or Entire Agreement Clause"
"bosch north america mutual nda rev page","Definition Clause"
"agreement contain entire understanding party confidential information supersede communication report understanding party respect thereto","Integration or Entire Agreement Clause"
"change addition provision shall binding writing sign authorized representative party","Integration or Entire Agreement Clause"
"notice shall writing deliver electronic mail register certify mail return receipt request appropriate address set forth signature block heading","Communication/Notice Clause"
"heading agreement reference shall affect meaning provision","Integration or Entire Agreement Clause"
"agreement sign counterpart include sign facsimile copy","Counterparts Clause"
"counterpart deem original counterpart shall constitute instrument","Counterparts Clause"
"witness whereof party hereto cause authorized representative execute agreement date write","Counterparts Clause"

"signature print print","Counterparts Clause"
"title date insert conterparty bosch automotive service solution","Counterparts Clause"
"agreement nondisclosure confidential information twoway","Non-Disclosure Clause"
"agreement effective date day university bristol register address senate house tyndall ave bristol register address","Definition Clause"
"party purpose agreement regulate exchange subsequent treatment confidential information receive disclose signatory agreement field protect proper interest disclosing party whilst confidential information possession control receive party","Purpose Clause"
"purpose agreement term confidential information include proprietary material information relate thereto include limitation specification drawing design computer software knowhow","Definition Clause"
"general receive party afford disclose confidential information degree protection afford","Confidentiality Clause"
"disclosure confidential information specific purpose evaluate technology field describe instance normally university bristol","Confidentiality Clause"
"specific document material necessarily provide loan purpose specify schedule agreement receive party return document material subsequently provide disclosing party request","Return or Destruction of Information Clause"
"party mark designate confidential information expressly necessary implication impart confidence","Confidentiality Clause"
"receive party receive confidential information record writing mean give orally record disclose connection agreement subject follow condition proper reasonable measure ensure confidentiality information maintain b use information commercial purpose manufacture obtain write licence agreement disclosing party c disclose information party write permission d disclose information employee extent necessary fulfil purpose set employee disclose aware confidential nature information condition disclosure e copy abstract information specific write permission disclosing party f acknowledge source ie organisation signatory agreement mark confidential drawing document software incorporate information","Confidentiality Clause"
"term agreement explicit imply transfer ownership receive party drawing document software copyright subsist","No License/No Implied Rights Clause"
"provide obligation undertaken apply information time disclosure public domain disclosure public domain fault recipient b information recipient party possession time disclosure independently develop recipient acquire directly indirectly disclosing party c information public time disclosing party permission disclosing party d information receive receive party party similar restriction breach agreement","Exclusion Clause"
"e information require disclose legal process law regulatory authority","Disclosure to Representatives Clause"
"party agree time current discussion period year start effective date agreement communicate divulge party confidential information receive party","Communication/Notice Clause"
"agreement construe enforce accordance english law subject exclusive jurisdiction english court party hereto submit","Governing Law and Jurisdiction Clause"
"clause shall prevent party seek interim relief court competent jurisdiction","Governing Law and Jurisdiction Clause"
"sign behalf university bristol date block letter","Counterparts Clause"
"sign behalf date block letter","Counterparts Clause"
"sid mutual nondisclosure agreement mutual nondisclosure agreement agreement enter business namename org address","Non-Disclosure Clause"
"business namename org address individually refer party jointly party","Definition Clause"
"introduction party wish explore possible cooperation brief description","Definition Clause"
"party evaluation discussion negotiation disclose essential information operation consider confidential","Confidentiality Clause"
"party acknowledge confidential information essential disclosing party operation result unauthorised disclosure thereof damage competitive situation disclosing party commercially andor academically","Confidentiality Clause"
"party agree disclosure use confidential information shall term condition agreement","Non-Disclosure Clause"
"confidentiality nonuse","Confidentiality Clause"
"purpose agreement confidential information mean information receive party receive party party disclosing party business research product andor service information technology include limitation research invention manufacture method datum design plan drawing knowhow system software process schematic blueprint record report model prototype description relate thereto customer partner term condition agreement information furnish discussion oral presentation designate confidential time disclosure","Definition Clause"
"confidential information shall include information public domain fault breach receive party ii previously know receive party free obligation confidential evidence business record iii lawfully obtain receive party party iv independently develop receive party use confidential information evidence record","Exclusion Clause"
"agreement deem restrict party comply lawfully issue governmental order order court competent jurisdiction legal requirement produce disclose confidential information provide receive party promptly notify disclosing party learn order requirement","Disclosure to Representatives Clause"
"sid party shall use confidential information purpose negotiation andor evaluation cooperation party","Obligations Clause"
"party shall disclose confidential information party officer employee consultant engage matter agreement need know basis prior write approval party","Disclosure to Representatives Clause"
"party shall ensure officer employee consultant receive confidential information bind confidentiality undertaking provide level protection provide agreement","Obligations Clause"
"return confidential information confidential information disclose disclosing party receive party shall remain property disclosing party","Return or Destruction of Information Clause"
"receive party shall entitle copy confidential information furnish disclosing party hereunder extent necessary purpose agreement","Return or Destruction of Information Clause"
"request disclosing party termination agreement receive party shall return delete destroy instruct write disclosing party confidential information copy thereof","Return or Destruction of Information Clause"
"receive party shall certify write information return delete destroy applicable copy retain confidential information partly wholly","Return or Destruction of Information Clause"
"intellectual property right confidential information include limit intellectual property right emanating relate confidential information remain exclusive property disclosing party agreement grant right license confidential information receive party","No License/No Implied Rights Clause"
"applicable agreement commercial partner case breach material obligation agreement receive party permit party receive confidential information accord agreement receive party shall liable pay liquidate damage disclosing party amounting sek breach obligation","Breach and Remedies Clause"
"notwithstanding right receive liquidate damage disclosing party right legal measure available claim receive compensation damage exceed liquidate damage include limit loss profit","Breach and Remedies Clause"
"agreement shall remain force effect year duly sign party provide confidentiality obligation impose receive sid party agreement shall continue period year termination agreement extent agreement supersede stipulation contemplated agreement","Term and Termination Clause"
"provision agreement shall apply retroactively confidential information disclose accordance agreement connection discussion negotiation possible cooperation describe agreement prior effective date agreement","Integration or Entire Agreement Clause"
"assignment party shall right assign agreement prior write consent party","Successors and Assigns Clause"
"govern law dispute resolution agreement shall construe accordance govern substantive law sweden","Governing Law and Jurisdiction Clause"
"dispute controversy claim arise connection agreement shall exclusively settle district court city instance","Governing Law and Jurisdiction Clause"
"dispute controversy claim arise connection agreement shall finally settle arbitration accordance rule expedite arbitration arbitration institute stockholm chamber commerce","Governing Law and Jurisdiction Clause"
"seat arbitration shall city","Governing Law and Jurisdiction Clause"

"language arbitral proceeding shall english","Governing Law and Jurisdiction Clause"
"agreement execute copy party take","Counterparts Clause"
"place place date date","Counterparts Clause"
"organisation namename","Definition Clause"
"page nondisclosure agreement agreement effective day effective date nsk europe limit register number registered office belmont place belmont road","Definition Clause"
"maidenhead berkshire tb uk nsk supplier register number","Definition Clause"
"registered office insert address insert party refer party party jointly refer party","Definition Clause"
"party intend enter discussion relate purpose involve exchange confidential information","Purpose Clause"
"b party agree comply agreement connection disclosure use confidential information","Non-Disclosure Clause"
"party agree follow definition affiliate shall mean corporation form business entity directly indirectly control control common control party time term agreement","Definition Clause"
"purpose definition term control mean direct indirect beneficial ownership voting share interest entity confidential information meaning give clause agreement disclose party party agreement disclose confidential information party","Definition Clause"
"purpose insert detail eg establish business relationship respect supply name service provision good x etc receive party party agreement receive confidential information party representative employee officer director professional advisor consultant relation party affiliate actively directly engage purpose term meaning give clause agreement","Definition Clause"
"confidential information","Definition Clause"
"confidential information mean confidential information relate purpose disclosing party affiliate disclose make available receive party affiliate effective date","Definition Clause"
"include fact discussion negotiation take place concern purpose status discussion negotiation","Definition Clause"
"page b term agreement c confidential proprietary information relate business affair customer client supplier plan business opportunity finances pricing operation process product information technique knowhow technical information design trade secret finding analysis derive confidential information tangible intangible form","Definition Clause"
"confidential information include information subsequently public knowledge publicly available fault receive party b know receive party prior time receipt evidence write record c lawfully obtain receive party party subject similar restriction disclosure d independently develop receive party e party agree writing confidential","Exclusion Clause"
"confidentiality obligation","Confidentiality Clause"
"consideration disclosing party disclose confidential information receive party receive party undertake shall confidential information secret confidential degree care use protect confidential information reasonable degree care b use exploit confidential information way purpose c disclose available confidential information person expressly permit accordance agreement d establish maintain adequate security measure safeguard confidential information unauthorized access use","Confidentiality Clause"
"notwithstanding clause agreement receive party disclose confidential information affiliate representative provide receive party procure representative shall comply confidentiality obligation set clause agreement receive party agree liable action omission representative relation confidential information action omission receive party b require order court competent jurisdiction governmental body case receive party shall extent permit law use reasonable endeavour provide disclosing party prompt write notice requirement prior disclosure disclosing party seek protection order appropriate remedy","Confidentiality Clause"
"protective order remedy obtain disclosing party receive party shall disclose portion confidential information legally require disclose","Disclosure to Representatives Clause"
"page return destruction confidential information","Return or Destruction of Information Clause"
"disclosing party write request receive party shall request disclosing party return disclosing party destroy provide destruction shall confirm writing receive party confidential information disclosing party include copy reproduction note extract summary include reflect incorporate contain disclosing party confidential information tangible form electronic mail computer file","Return or Destruction of Information Clause"
"clause agreement shall apply","Integration or Entire Agreement Clause"
"confidential information hold electronically archive backup system reasonably retrievable representative receive party affiliate b copy confidential information retain receive party pursuant applicable law","Return or Destruction of Information Clause"
"provision agreement shall continue apply document material retain receive party pursuant clause agreement","Integration or Entire Agreement Clause"
"party reserve right confidential information","Non-Disclosure Clause"
"agreement shall interpret grant disclosing party license title interest proprietary right receive party disclosing party confidential information product embody","No License/No Implied Rights Clause"
"confidential information disclose disclosing party receive party pursuant agreement shall remain disclosing party property","No License/No Implied Rights Clause"
"party express imply representation warranty accuracy reliability completeness confidential information expressly disclaim liability base confidential information include error omission","Exclusion Clause"
"party agree entitle rely accuracy completeness confidential information","Definition Clause"
"inadequacy damage","Breach and Remedies Clause"
"prejudice right remedy party party acknowledge agree damage adequate remedy breach term agreement party","Breach and Remedies Clause"
"accordingly party shall entitle remedy injunction specific performance equitable relief threatened actual breach agreement","Breach and Remedies Clause"
"obligation disclose continue discussion","Obligations Clause"
"agreement shall impose obligation party disclose information confidential information party","Obligations Clause"
"agreement shall impose obligation party continue discussion negotiation connection purpose enter contract business relationship","Obligations Clause"
"term survival confidentiality obligation","Term and Termination Clause"
"term agreement shall period year effective date term terminate extend party write agreement","Term and Termination Clause"
"right obligation contain agreement shall continue force effect year expiration term termination agreement","Term and Termination Clause"
"partnership agency","Definition Clause"
"agreement intend shall deem establish partnership joint venture party create commercial agency relationship party authorise party enter commitment behalf party","Definition Clause"
"party shall assign transfer subcontract deal manner right obligation agreement prior write agreement party","Successors and Assigns Clause"
"agreement constitute entire agreement party supersede extinguishe previous agreement promise assurance warranty representation understanding write oral relate subject matter","Integration or Entire Agreement Clause"
"variation agreement shall effective writing sign party","Integration or Entire Agreement Clause"
"failure delay party exercise right remedy provide agreement law shall constitute waiver right remedy shall prevent restrict exercise right remedy","Breach and Remedies Clause"
"single partial exercise right remedy shall prevent restrict exercise right remedy","Breach and Remedies Clause"
"provision agreement invalid unenforceable shall deem modify minimum extent necessary valid enforceable","Integration or Entire Agreement Clause"
"modification provision clause shall affect validity enforceability rest agreement","Integration or Entire Agreement Clause"
"notice give party connection agreement shall writing shall deliver hand prepay class post reputable nextday courier service register office principal place business send email address specify party write","Communication/Notice Clause"
"notice shall deem receive deliver hand time notice deliver proper address send prepay class post second business day post nextday courier service time record courier email time transmission","Communication/Notice Clause"
"clause apply service proceeding document legal action applicable arbitration method dispute resolution","Governing Law and Jurisdiction Clause"
"agreement rise right contract right party act enforce term agreement","Integration or Entire Agreement Clause"
"agreement dispute claim include noncontractual dispute claim arise connection subject matter formation shall govern construe accordance law england wale","Governing Law and Jurisdiction Clause"
"party irrevocable agree court england wale shall exclusive jurisdiction settle dispute claim include noncontractual dispute claim arise connection agreement subject matter formation","Governing Law and Jurisdiction Clause"
"undersigned duly authorise execute agreement behalf party","Counterparts Clause"
"behalf nsk europe limit behalf company signature","Counterparts Clause"
"signature","Counterparts Clause"
"date date","Counterparts Clause"
"mutual nondisclosure conﬁdentiality agreement mutual nondisclosure conﬁdentiality agreement agreement ltd client name signature column","Non-Disclosure Clause"
"client collectively refer party individually party","Definition Clause"
"party include entity name successor assign present future corporate parent subsidiary organization control control common control party","Definition Clause"
"party disclosing party party deem receive party","Definition Clause"
"party intend enter discussion potential future business relationship b","Purpose Clause"

"order facilitate discussion party wish disclose certain conﬁdential information deﬁne agree follow deﬁnition interpretation agreement conﬁdential information mean information relate disclosing party business partner customer ﬁnancial aﬀair include detail relate software copyright respect vest disclosing party obtain receive party undertaking enter writing orally pursuant discussion personnel disclosing party b portion analysis compilation study report document prepare disclosing party contain reﬂect generate information speciﬁed paragraph c information commercially sensitive nature relate disclosing party obtain observation visit disclosing partys premise subject proviso set clause","Purpose and Scope Clause"
"disclose party mean party conﬁdential information disclose receive party personnel mean staﬀ employee director oﬃcer professional advisor party purpose mean discussion negotiation relate potential agreement party hereto particularly set recital","Definitions Clause"
"receive party mean party receipt conﬁdential information commitment","Definitions Clause"
"consideration party agree supply party conﬁdential information purpose consideration mutual undertaking set party separately agree irrevocably undertake use conﬁdential information purpose act accordance term condition hereinafter contain","Consideration Clause"
"disclosure conﬁdential information disclosing party receive party shall way construe imply transfer right connect conﬁdential information include limitation trade mark business secret","No Transfer of Rights Clause"
"receive partys obligation respect conﬁdential information available disclosing party pursuant agreement shall continue notwithstanding termination purpose","Survival Clause"
"safekeepe receive party shall treat safeguard private conﬁdential conﬁdential information reasonable precaution deal conﬁdential information prevent party have access conﬁdential information","Confidentiality Obligation Clause"
"limited internal dissemination receive party shall disclose reveal conﬁdential information disclose personnel require course duty receive consider far necessary fulﬁl purpose","Permitted Disclosure Clause"
"prior disclosure conﬁdential information personnel receive party shall inform conﬁdential nature material provision conﬁdentiality undertaking obtain write conﬁrmation acceptance term","Prior Disclosure Clause"
"nondisclosure party save permit receive party shall shall procure personnel time disclosing party prior write consent disclose conﬁdential information party directly indirectly b disclose person fact discussion negotiation take place party ii content discussion negotiation iii term condition fact respect purpose iv conﬁdential information request receive require law order ruling court tribunal regulatory body recognise stock exchange competent jurisdiction case receive party require disclose conﬁdential information shall prohibit notify disclosing party promptly writing fact event prior make disclosure","Non-Disclosure and Permitted Disclosure Clause"
"discussion authorise representative understand communication party discussion request additional information meeting question submit direct authorise representative party exclusion conﬁdential information term condition apply conﬁdential information public domain public knowledge mean breach receive party personnel obligation contain b previously time disclose receive party party have right disclose provide source know receive party bind conﬁdentiality agreement obligation secrecy disclosing party c release provision undertaking prior write consent give director authorise representative disclosing party d independently acquire develop receive party violate obligation hereunder","Exclusions from Confidentiality Clause"
